model,task_id,n_requests,output_tokens_mean,output_tokens_median,output_tokens_p90,output_tokens_max,cumulative_output_at_end,latency_ms_mean,verbosity_index
gemma-4-31b-it,t11,54,17.0,17.0,17.0,17,918,29121.9,17.0
glm-5,t01,5,3063.4,2291.0,5667.8,5781,15317,42575.4,3063.0
glm-5,t02,80,5630.6,3436.0,13694.6,22906,450445,65943.5,5631.0
glm-5,t03,52,6193.0,5141.5,12939.4,22846,322037,73076.1,6193.0
glm-5,t04,41,7573.9,3957.0,18083.0,25877,310528,88343.8,7574.0
glm-5,t05,13,6256.7,3658.0,14644.0,18682,81337,83346.1,6257.0
glm-5,t06,15,5991.9,4523.0,11650.8,20422,89879,69634.5,5992.0
glm-5,t07,80,5750.9,4940.0,10603.5,18039,460071,72482.3,5751.0
glm-5,t08,28,4093.9,2931.5,8496.4,14950,114628,51086.6,4094.0
glm-5,t09,22,6636.7,5234.5,13777.8,19717,146008,86194.5,6637.0
glm-5,t10,73,4031.4,2754.0,8713.2,19687,294292,57337.5,4031.0
glm-5,t11,56,4656.9,2860.0,11220.0,24506,260787,57032.1,4657.0
gpt-5.4-2026-03-05,t01,80,16.4,16.0,18.0,18,1314,1481.7,16.0
gpt-5.4-2026-03-05,t02,80,40.6,42.0,42.0,42,3246,1599.0,41.0
gpt-5.4-2026-03-05,t03,160,18.1,18.0,22.0,24,2892,1033.0,18.0
gpt-5.4-2026-03-05,t04,80,36.0,36.0,36.0,36,2880,1481.4,36.0
gpt-5.4-2026-03-05,t05,80,16.4,16.0,18.0,18,1312,1415.7,16.0
gpt-5.4-2026-03-05,t06,160,14.0,14.0,14.0,14,2240,1155.2,14.0
gpt-5.4-2026-03-05,t07,80,65.4,67.0,80.2,143,5231,2912.8,65.0
gpt-5.4-2026-03-05,t08,74,12.0,12.0,12.0,12,888,1202.5,12.0
gpt-5.4-2026-03-05,t09,160,17.1,18.0,18.0,18,2740,1550.9,17.0
gpt-5.4-2026-03-05,t10,341,348.0,364.0,586.0,2076,118678,8197.3,348.0
gpt-5.4-2026-03-05,t11,160,16.0,16.0,16.0,16,2560,1481.7,16.0
gpt-5.4-mini-2026-03-17,t01,80,16.0,16.0,16.0,16,1280,624.2,16.0
gpt-5.4-mini-2026-03-17,t02,80,28.8,28.0,31.0,31,2303,926.5,29.0
gpt-5.4-mini-2026-03-17,t03,160,18.1,21.0,22.0,22,2898,828.5,18.0
gpt-5.4-mini-2026-03-17,t04,80,36.2,36.0,36.0,42,2892,819.6,36.0
gpt-5.4-mini-2026-03-17,t05,80,16.0,16.0,16.0,16,1280,643.3,16.0
gpt-5.4-mini-2026-03-17,t06,160,14.1,14.0,14.0,20,2258,818.6,14.0
gpt-5.4-mini-2026-03-17,t07,80,29.5,28.0,33.0,77,2357,867.0,29.0
gpt-5.4-mini-2026-03-17,t08,74,14.2,14.0,14.0,20,1048,631.6,14.0
gpt-5.4-mini-2026-03-17,t09,160,16.1,16.0,16.0,22,2574,1120.4,16.0
gpt-5.4-mini-2026-03-17,t10,277,241.9,293.0,520.4,790,67011,6981.0,242.0
gpt-5.4-mini-2026-03-17,t11,160,13.1,13.0,13.0,19,2092,834.0,13.0
gpt-5.4-nano-2026-03-17,t01,80,16.8,16.0,18.0,18,1340,608.4,17.0
gpt-5.4-nano-2026-03-17,t02,80,30.1,31.0,31.0,31,2411,651.8,30.0
gpt-5.4-nano-2026-03-17,t03,160,18.0,18.0,22.0,24,2878,624.1,18.0
gpt-5.4-nano-2026-03-17,t04,80,27.0,27.0,27.0,27,2160,765.5,27.0
